"country","totalEmissions","percWorldTotal","pop2022"
"Singapore","53.3700","0.1400","5943.5460"
"Hungary","53.1800","0.1400","9606.2590"
"Libya","52.0500","0.1400","7040.7450"
"Portugal","48.4700","0.1300","10140.5700"
"Myanmar","48.3100","0.1300","55227.1430"
"Norway","47.9900","0.1300","5511.3700"
"Sweden","44.7500","0.1200","10218.9710"
"Hong Kong","44.0200","0.1200","7604.2990"
"Finland","43.4100","0.1100","5554.9600"
"Bulgaria","43.3100","0.1100","6844.5970"
